sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN040004,4,4,M2,2,311,404,,,,1,1,,,
DEN040005,4,5,M1,1,403,,,,,1,,,,
DEN040006,4,6,M1,1,405,,,,,1,,,,
DEN040007,4,7,M1,1,316,,,,,1,,,,
DEN040008,4,8,S1,1,204,,,,,1,,,,
DEN040009,4,9,M1,1,315,,,,,1,,,,
DEN040010,4,10,S1,1,102,,,,,1,,,,
DEN040011,4,11,S1,2,113,,,,,2,,,,
DEN040012,4,12,S2,2,230,232,,,,1,1,,,
DEN040013,4,13,M3,3,301,309,401,,,1,1,1,,
DEN040014,4,14,M1,1,308,,,,,1,,,,
DEN040015,4,15,S1,1,105,,,,,1,,,,
DEN040016,4,16,M4,4,312,313,317,406,,1,1,1,1,
DEN040017,4,17,MIX3,3,208,224,314,,,1,1,1,,
DEN040018,4,18,M1,1,302,,,,,1,,,,
DEN040019,4,19,S4,4,103,109,210,215,,1,1,1,1,
DEN040020,4,20,L1,1,501,,,,,1,,,,
DEN050001,5,1,M1,1,305,,,,,1,,,,
DEN050002,5,2,S3,3,109,203,204,,,1,1,1,,
DEN050003,5,3,S2,2,220,222,,,,1,1,,,
DEN050004,5,4,M1,1,304,,,,,1,,,,
DEN050005,5,5,S1,1,206,,,,,1,,,,
DEN050006,5,6,L5,5,501,502,503,601,602,1,1,1,1,1
DEN050007,5,7,S2,4,112,202,,,,3,1,,,
DEN050008,5,8,S1,1,224,,,,,1,,,,
DEN050009,5,9,S1,1,226,,,,,1,,,,
DEN050010,5,10,S1,1,232,,,,,1,,,,
DEN050011,5,11,M2,2,314,401,,,,1,1,,,
DEN050012,5,12,S2,2,211,213,,,,1,1,,,
DEN050013,5,13,S1,1,214,,,,,1,,,,
DEN050014,5,14,S2,2,205,229,,,,1,1,,,
DEN050015,5,15,S2,2,102,223,,,,1,1,,,
DEN050016,5,16,M1,1,308,,,,,1,,,,
DEN050017,5,17,M1,1,303,,,,,1,,,,
DEN050018,5,18,S3,3,101,227,228,,,1,1,1,,
DEN050019,5,19,M1,1,313,,,,,1,,,,
DEN050020,5,20,S1,1,105,,,,,1,,,,
