item_id,name,JAN_code,height__cm,width__cm,depth__cm,size_category,amount,url
224,Sony Camera a6000,4905524974362,17,16,11,10-20cm,1,
225,Panasonic waterproof camera,4549077388551,18,12,7,10-20cm,1,
226,Apple white Ipad 3,4549995066234,20,13,6,10-20cm,1,
227,Nejirikko (strapping band),4977564010676,11.5,9,2,10-20cm,1,
228,SP micro SD XC Card (SP128GBSTXBU1V20BS),4712702654325,12,8.5,0.1,10-20cm,2,
229,Fitty (Replacement Cartridge),4902505454516,6,13.5,2,10-20cm,1,
230,Amzon Basics High-Speed HDMI Cable (B014I8SSD0),841710102130,9.5,15.5,1,10-20cm,1,
231,MX Master 3,4943765051336,14,17.5,6,10-20cm,1,
232,Spray,4969887261675,6,18.5,5,10-20cm,1,
301,Phone case,---,22,12,1,20-30cm,1,
302,Splotlight,4943765045359,20,8,3.5,20-30cm,1,
303,iPad Mini,4549995066302,22,14.7,5,20-30cm,1,
304,White Box,---,20.5,20.5,17.5,20-30cm,1,
305,White Box,---,20.5,20.5,17.5,20-30cm,1,
306,XPERIA Z4 (DOCOMO),4942857180701,27.5,18,3,20-30cm,1,
307,XPERIA Z4,43016011,27.5,18,5,20-30cm,1,
308,Olympus digital camera,4545350038120,25,15,10,20-30cm,1,
309,WiFi router,4981254019962,27.5,22,8,20-30cm,1,
310,Vacuum Cleaner,4536178912259,29,18.5,16,20-30cm,1,
311,Personal Fan 1,X000SK72IP,27.5,16,15,20-30cm,1,
312,Personal Fan 2,X000SK72IP,27.5,16,15,20-30cm,1,
313,Apple Pencil,4549995050042,6,21,2.5,20-30cm,1,
314,GooGle nexus7,4716659568391,12.5,21,4.5,20-30cm,1,
315,HD Cable (X00UPWAE9),X000UPWAE9,23,16,1,20-30cm,1,
316,Apple Magic Keyboard,4549995241976,29,24,2.5,20-30cm,1,
317,Apple iPad Pro 12inch,4549995208436,22.5,29.5,5,20-30cm,1,
401,White Box,4969887837344,37,11,6,30-40cm,1,
402,NEC LAVIE T11 (power strip),4589796411192,32.5,17.5,3.5,30-40cm,1,
403,RTX Titan,4560152388792,33,18,19.5,30-40cm,1,
404,RTX Titan,4560152388792,33,18,19.5,30-40cm,1,
405,Coffee Mill,---,25,35.5,15,30-40cm,1,
406,GeForce RTX 3090,4719072762506,40,30,9,30-40cm,1,
501,Power strip,4969887834855,41,14,4,40-50cm,1,
502,Toner Cartidge-Black (CT201688),4982012815093,45.5,8,9,40-50cm,1,
503,Fractal Celsius+ S36 Prisma,4537694275569,47,18,14.5,40-50cm,1,
601,REALFORCE,4560299340707,50.5,22.5,5.5,50-60cm,1,
602,Toner collection bottle (CWAA0731),4982012811200,52,10.5,9,50-60cm,1,
