sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN030009,3,9,xM1,1,302,,,,,1,,,,
DEN030010,3,10,xS2-3,2,201,212,,,,1,1,,,
DEN030011,3,11,xS1,1,220,,,,,1,,,,
DEN030012,3,12,xS1,1,204,,,,,1,,,,
DEN030013,3,13,xL1,1,601,,,,,1,,,,
DEN030014,3,14,xL1,1,501,,,,,1,,,,
DEN030015,3,15,xS2-3,2,216,221,,,,1,1,,,
DEN030016,3,16,xS1,1,224,,,,,1,,,,
DEN030017,3,17,xS1,1,226,,,,,1,,,,
DEN030018,3,18,xS1,1,106,,,,,1,,,,
DEN030019,3,19,xS1,1,104,,,,,1,,,,
DEN030020,3,20,xL1,1,402,,,,,1,,,,
DEN040001,4,1,xL1,1,501,,,,,1,,,,
DEN040002,4,2,xS1,1,221,,,,,1,,,,
DEN040003,4,3,xL1,1,601,,,,,1,,,,
DEN040004,4,4,xS4-5,4,101,108,211,224,,1,1,1,1,
DEN040005,4,5,xS2-3,2,103,310,,,,1,1,,,
DEN040006,4,6,xS2-3,3,102,104,202,,,1,1,1,,
DEN040007,4,7,xM2-5,5,301,303,311,312,402,1,1,1,1,1
DEN040008,4,8,xS1,1,107,,,,,1,,,,
DEN040009,4,9,xM2-5,3,307,309,404,,,1,1,1,,
DEN040010,4,10,xL1,1,403,,,,,1,,,,
DEN040011,4,11,xS1,1,203,,,,,1,,,,
DEN040012,4,12,xL1,1,401,,,,,1,,,,
DEN040013,4,13,xS1,1,212,,,,,1,,,,
DEN040014,4,14,xS1,1,218,,,,,1,,,,
DEN040015,4,15,xS2-3,2,105,217,,,,1,1,,,
DEN040016,4,16,xM1,1,302,,,,,1,,,,
DEN040017,4,17,xM1,1,305,,,,,1,,,,
DEN040018,4,18,xS2-3,3,207,209,216,,,1,1,1,,
DEN040019,4,19,xS2-3,3,206,210,220,,,1,1,1,,
DEN040020,4,20,xS1,1,223,,,,,1,,,,
DEN050001,5,1,xS1,1,219,,,,,1,,,,
DEN050002,5,2,xS2-3,2,222,307,,,,1,1,,,
DEN050003,5,3,xS4-5,5,101,202,206,215,218,1,1,1,1,1
DEN050004,5,4,xS1,1,108,,,,,1,,,,
DEN050005,5,5,xM1,1,310,,,,,1,,,,
DEN050006,5,6,xS2-3,3,104,208,306,,,1,1,1,,
DEN050007,5,7,xS2-3,2,103,226,,,,1,1,,,
DEN050008,5,8,xS1,1,204,,,,,1,,,,
DEN050009,5,9,xS1,1,214,,,,,1,,,,
DEN050010,5,10,xL1,1,402,,,,,1,,,,
DEN050011,5,11,xS1,1,201,,,,,1,,,,
DEN050012,5,12,xS2-3,3,102,205,220,,,1,1,1,,
DEN050013,5,13,xS1,1,213,,,,,1,,,,
DEN050014,5,14,xL1,1,401,,,,,1,,,,
DEN050015,5,15,xM1,1,305,,,,,1,,,,
DEN050016,5,16,xM1,1,301,,,,,1,,,,
DEN050017,5,17,xL1,1,501,,,,,1,,,,
DEN050018,5,18,xS1,1,225,,,,,1,,,,
DEN050019,5,19,xS2-3,2,207,311,,,,1,1,,,
DEN050020,5,20,xS1,1,223,,,,,1,,,,
