sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN030015,3,15,xM1,1,308,,,,,1,,,,
DEN030016,3,16,xS2-3,3,107,209,306,,,1,1,1,,
DEN030017,3,17,xS1,1,202,,,,,1,,,,
DEN030018,3,18,xM1,1,305,,,,,1,,,,
DEN030019,3,19,xS1,1,216,,,,,1,,,,
DEN030020,3,20,xS1,1,218,,,,,1,,,,
DEN040001,4,1,xS4-5,5,201,210,212,216,217,1,1,1,1,1
DEN040002,4,2,xS4-5,4,101,108,206,223,,1,1,1,1,
DEN040003,4,3,xL1,1,601,,,,,1,,,,
DEN040004,4,4,xM1,1,304,,,,,1,,,,
DEN040005,4,5,xS2-3,3,106,205,303,,,1,1,1,,
DEN040006,4,6,xS2-3,2,208,215,,,,1,1,,,
DEN040007,4,7,xM1,1,312,,,,,1,,,,
DEN040008,4,8,xS1,1,104,,,,,1,,,,
DEN040009,4,9,xS1,1,219,,,,,1,,,,
DEN040010,4,10,xS2-3,2,102,302,,,,1,1,,,
DEN040011,4,11,xL1,1,401,,,,,1,,,,
DEN040012,4,12,xM2-5,3,309,311,404,,,1,1,1,,
DEN040013,4,13,xS1,1,211,,,,,1,,,,
DEN040014,4,14,xM1,1,306,,,,,1,,,,
DEN040015,4,15,xS2-3,3,218,224,225,,,1,1,1,,
DEN040016,4,16,xS2-3,3,207,221,310,,,1,1,1,,
DEN040017,4,17,xL1,1,402,,,,,1,,,,
DEN040018,4,18,xS1,1,107,,,,,1,,,,
DEN040019,4,19,xS1,1,213,,,,,1,,,,
DEN040020,4,20,xL1,1,501,,,,,1,,,,
DEN050001,5,1,xS2-3,3,101,222,303,,,1,1,1,,
DEN050002,5,2,xL1,1,403,,,,,1,,,,
DEN050003,5,3,xS1,1,211,,,,,1,,,,
DEN050004,5,4,xL1,1,404,,,,,1,,,,
DEN050005,5,5,xS2-3,2,215,301,,,,1,1,,,
DEN050006,5,6,xS4-5,5,108,202,213,214,218,1,1,1,1,1
DEN050007,5,7,xL1,1,401,,,,,1,,,,
DEN050008,5,8,xL1,1,402,,,,,1,,,,
DEN050009,5,9,xM2-5,2,307,312,,,,1,1,,,
DEN050010,5,10,xS4-5,5,107,205,220,223,226,1,1,1,1,1
DEN050011,5,11,xS1,1,221,,,,,1,,,,
DEN050012,5,12,xS1,1,206,,,,,1,,,,
DEN050013,5,13,xS2-3,3,103,208,304,,,1,1,1,,
DEN050014,5,14,xL1,1,501,,,,,1,,,,
DEN050015,5,15,xS1,1,224,,,,,1,,,,
DEN050016,5,16,xS1,1,209,,,,,1,,,,
DEN050017,5,17,xM2-5,3,305,308,309,,,1,1,1,,
DEN050018,5,18,xS1,1,201,,,,,1,,,,
DEN050019,5,19,xS1,1,102,,,,,1,,,,
DEN050020,5,20,xS2-3,3,105,210,310,,,1,1,1,,
