sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
DEN040005,4,5,M1,1,307,,,,,1,,,,
DEN040006,4,6,L1,1,601,,,,,1,,,,
DEN040007,4,7,L1,1,503,,,,,1,,,,
DEN040008,4,8,M3,3,304,313,315,,,1,1,1,,
DEN040009,4,9,S1,1,217,,,,,1,,,,
DEN040010,4,10,S1,1,218,,,,,1,,,,
DEN040011,4,11,M1,1,305,,,,,1,,,,
DEN040012,4,12,M2,2,308,310,,,,1,1,,,
DEN040013,4,13,M5,5,306,309,314,401,406,1,1,1,1,1
DEN040014,4,14,S2,2,219,227,,,,1,1,,,
DEN040015,4,15,M2,2,301,302,,,,1,1,,,
DEN040016,4,16,S2,2,105,203,,,,1,1,,,
DEN040017,4,17,S2,2,208,230,,,,1,1,,,
DEN040018,4,18,S4,4,111,205,209,229,,1,1,1,1,
DEN040019,4,19,M5,5,303,316,317,402,404,1,1,1,1,1
DEN040020,4,20,S2,2,103,231,,,,1,1,,,
DEN050001,5,1,M1,1,405,,,,,1,,,,
DEN050002,5,2,S2,2,111,115,,,,1,1,,,
DEN050003,5,3,M1,1,311,,,,,1,,,,
DEN050004,5,4,M1,1,310,,,,,1,,,,
DEN050005,5,5,S4,5,113,201,215,227,,2,1,1,1,
DEN050006,5,6,S2,2,207,231,,,,1,1,,,
DEN050007,5,7,M1,1,313,,,,,1,,,,
DEN050008,5,8,M3,3,305,309,401,,,1,1,1,,
DEN050009,5,9,S2,2,104,223,,,,1,1,,,
DEN050010,5,10,S1,1,203,,,,,1,,,,
DEN050011,5,11,M1,1,306,,,,,1,,,,
DEN050012,5,12,S1,1,107,,,,,1,,,,
DEN050013,5,13,S3,3,211,214,222,,,1,1,1,,
DEN050014,5,14,M1,1,308,,,,,1,,,,
DEN050015,5,15,M1,1,301,,,,,1,,,,
DEN050016,5,16,M1,1,406,,,,,1,,,,
DEN050017,5,17,M1,1,312,,,,,1,,,,
DEN050018,5,18,M2,2,316,404,,,,1,1,,,
DEN050019,5,19,M1,1,403,,,,,1,,,,
DEN050020,5,20,S2,2,102,213,,,,1,1,,,
